score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
8.0,Very good,Clean and spacious room,Room was in the basement level without any window and natural light.,Belgium,Superior Double Room,2 nights ·,Solo traveller,August 2022,16 August 2022,,
9.0,good location excellent staff,clean,breakfast just OK,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,14 August 2022,,
9.0,Superb,The bed was very soft and you could sleep wonderfully well.The staff was very friendly and accommodating.,"Unfortunately, the window could not be opened. The breakfast offer was quite manageable.",Austria,Club Double Room,4 nights ·,Couple,August 2022,14 August 2022,,
8.0,"Nice hotel, close to a tube station, quite area","the location, the cleanliness, beds were cofortable","we sent messages to the hotel through the application, none of them were answered. we added comments to our reservation, and none were followed. we clearly add a note that we will arrive late at night for the check in, but still marked as “no show”.",Israel,Deluxe Double Room,5 nights ·,Family,August 2022,13 August 2022,,
8.0,Very good,"The reception staff was amazing especially Hanna and Chris , they were so friendly and helpful , thanks for making our stay unforgettable.",,United Kingdom,Superior Double Room,7 nights ·,Family,August 2022,12 August 2022,,
7.0,Nice. would definitely stay again.,The property is very central to town. Earl’s Court tube near by,,United Kingdom,Superior Double Room,5 nights ·,Couple,July 2022,12 August 2022,,
8.0,"great location, nice quiet comfortable room",lovely and clean and great smell,looking a little dated now could do with a little refresh,United Kingdom,Club Double Room,1 night ·,Couple,August 2022,12 August 2022,,
8.0,It was a lovely experience generally with helpful staff.,it was nicely located with a lot of restaurants located with a 4 mins walk,"the room was really small and also once, housekeeping did not take out my trash and we had to send a message for them to come take it out",Nigeria,Deluxe Double Room,3 nights ·,Family,August 2022,11 August 2022,,
9.0,Would definitely stay here again when in London,"Location, staff, cleanliness, easy access to London Underground",,United Kingdom,Superior Double Room,3 nights ·,Couple,August 2022,11 August 2022,,
8.0,great short stay ideal situation friendly staff,friendly staff all day and night lovely welcome too very courteous,the property was fine just the paving outside could have been a little cleaner,United Kingdom,Deluxe Double Room,1 night ·,Family,August 2022,11 August 2022,1,
7.0,Good,,Wifi doesn't often work in room,South Korea,Deluxe Double Room,6 nights ·,Solo traveller,August 2022,10 August 2022,,
9.0,"greeted with a warm welcome, great customer service tips it for me",It was perfect for us,nothing,United Kingdom,Deluxe Double Room,1 night ·,Family,August 2022,9 August 2022,,
8.0,Very good,,only one elevator so can be slow to go up and down from the rooms,United Arab Emirates,Club Twin Room,6 nights ·,Family,June 2022,9 August 2022,,
9.0,"Lovely, enjoyable stay.","staff were friendly, location was amazing, value for money was super good!","the drawers in our room were hard to open but apart from that, everything else was perfect!",United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,7 August 2022,,
9.0,had a fab time,very cool and very easy to find from earls court underground station.,very dark,United Kingdom,Deluxe Double Room,2 nights ·,Group,August 2022,7 August 2022,,
9.0,great hotel great location,Great staff lovely room great location,a bit petty but stair carpet needs cleaning,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,7 August 2022,,
9.0,Superb,location amd staff,,Jordan,Deluxe Double Room,2 nights ·,Couple,August 2022,5 August 2022,,
9.0,If not for these glitches I would give 5 stars,The tall young man who checked us in was very attentive and helpful,I requested a quiet room in a higher floor however we were given a room in the basement with no direct elevator access. The phone in the room did not work so we had to drag and carry our luggage to the ground floor,United States,Deluxe Double Room,2 nights ·,Group,July 2022,2 August 2022,1,
8.0,Very good,Location is very convenient. Window is very good soundproofing. Cleaning staff is very efficient and helpful.,The room is a bit small.,United Kingdom,Deluxe Twin Room,6 nights ·,Family,July 2022,31 July 2022,,
9.0,Superb,Very hospitable staff. Great location.,,Pakistan,Deluxe Double Room,6 nights ·,Family,July 2022,30 July 2022,,
9.0,comfortable overnight stay,location to tube station clean staff very friendly,"air conditioning wasn’t the best - thought the room would be ice box cold, but we only needed somewhere to sleep. it was bearable for one night.",United Kingdom,Deluxe Twin Room,1 night ·,Group,July 2022,28 July 2022,,
9.0,Superb,"Nice place, nice staff, we had a big bath and super shower, hearty full English or continental breakfast with attentive service when called on.",Would have preferred above ground room but not really a problem.,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,26 July 2022,,
8.0,Very good,Helpful staff,Small bath towels,United Kingdom,Deluxe Twin Room,1 night ·,Family,July 2022,26 July 2022,,
8.0,"Great location, very pleasant quiet room","Great location, very pleasant quiet room on 3rd floor at rear away from lift as had been requested in advance. Staff were helpful and polite.",In room safe had a fault but it was swiftly rectified by Maintenance team. A little surprised I was obliged to pay for breakfast in advance Vs at checkout - luckily had cards on me!,United Kingdom,Superior Double Room,1 night ·,Solo traveller,July 2022,25 July 2022,,
8.0,Lovely location with clean rooms and a good buffet breakfast,Staff were attentive and helpful. Location was an easy walk from Earls court station and the range of nearby restaurants and pubs were great.,They forgot to put a bar fridge in the room at first but did put one in when we queried how to keep our supplies cold.  Breakfast was good but would have liked plain yoghurt rather than all fruit based.,Australia,Deluxe Double Room,1 night ·,Couple,July 2022,24 July 2022,,
8.0,London city break,The hotel itself is lovely. It's a great location. Very close to Earl's Court tube and loads of shops and restaurants close by,The reception staff were not a bit welcoming or even helpful. I found them abrupt and dismissive,Ireland,Club Twin Room,4 nights ·,Group,July 2022,24 July 2022,,
9.0,Very handy and great price for London,Very good and very convenient,The same hotel in n. Ireland,United Kingdom,Deluxe Double Room,1 night ·,Group,July 2022,24 July 2022,,
9.0,Superb,I didn’t eat there.,Room space is too small.,United States,Superior Double Room,3 nights ·,Couple,July 2022,22 July 2022,,
9.0,convenient,central location,a bit small (but central London maybe OK?!),United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,July 2022,21 July 2022,,
9.0,I enjoyed my stay,Nice and modern,Clean,Jersey,Deluxe Double Room,2 nights ·,Solo traveller,July 2022,21 July 2022,,
8.0,Very good,Staff and location are great,breakfast is very poor,Qatar,Deluxe Double Room,1 night ·,Solo traveller,July 2022,19 July 2022,,
7.0,Overall good for Kensington.,"Location and room were good. Good air conditioning,  no traffic noise, pleasant staff.","The breakfast could have been better. Only 2 fruits  and poor choice of cereal, no muesli or granola. The bread was just about the cheapest one could buy. However my partner said that the cooked option (which I never eat) was good!",United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,18 July 2022,,
9.0,Superb,Friendly staff and excellent location.,,United Kingdom,Deluxe Twin Room,7 nights ·,Couple,July 2022,17 July 2022,,
7.0,Not really a good choice,"location is very good, 5 minutes walk to the metro, staff was friendly and welcoming. hotel is clean in general.","Room too small, AC grill is directed to the bed which is not appropriate, there is no option any way due to room size.Breakfast is with limited options but quality of food is good. They wrote on the restaurant that everything is Halal, we even verified this verbally with the reception staff that breakfast food all Halal; we found out majority of the breakfast items are pork and nothing is written on it.",United Arab Emirates,Superior Double Room,2 nights ·,Family,July 2022,16 July 2022,,
8.0,"Great experience, worth the money.","Everything is class. Staffs were friendly, the room was clean, great location which is just 5 mins walk to underground station.",,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,16 July 2022,,
